complaint_text,category,priority
No electricity for 2 days in entire street,Electricity,High
Garbage burning causing smoke,Garbage,Medium
Sewage mixing with drinking water,Water,High
Street has cracks and bumps everywhere,Roads,Medium
Sewage overflow on main road,Drainage,High
Minor road damage near park,Roads,Low
Pothole filled with water near hospital,Roads,High
Waste dumped near school,Garbage,High
Bad smell from open drain,Drainage,Medium
Minor road damage near park,Roads,Low
Garbage not collected for 10 days,Garbage,High
Water pipe burst flooding the street,Water,High
Electric pole fallen on road,Electricity,High
Sewage mixing with drinking water,Water,High
Street has cracks and bumps everywhere,Roads,Medium
Electricity bill incorrect this month,Electricity,Low
Large pothole on main road causing accidents,Roads,High
Water pipe burst flooding the street,Water,High
Water leakage from underground pipe,Water,Medium
No electricity for 2 days in entire street,Electricity,High
Dirty water coming from tap,Water,High
Waste dumped near school,Garbage,High
Waste dumped near school,Garbage,High
Garbage burning causing smoke,Garbage,Medium
Transformer making loud noise,Electricity,Medium
Stagnant water breeding mosquitoes,Drainage,High
Water meter not working properly,Water,Low
Bad smell from open drain,Drainage,Medium
Pothole filled with water near hospital,Roads,High
Dirty water coming from tap,Water,High
Waste dumped near school,Garbage,High
Power cut every day for 4 hours,Electricity,High
Drain cleaning not done for months,Drainage,Medium
No electricity for 2 days in entire street,Electricity,High
Footpath broken and dangerous for walkers,Roads,Medium
Water pipe burst flooding the street,Water,High
Stagnant water breeding mosquitoes,Drainage,High
Large pothole on main road causing accidents,Roads,High
Water supply irregular for a week,Water,High
Dead animals lying on road not removed,Garbage,High
No electricity for 2 days in entire street,Electricity,High
Garbage not collected for 10 days,Garbage,High
Water leakage from underground pipe,Water,Medium
Garbage bin overflowing near market,Garbage,High
Dead animals lying on road not removed,Garbage,High
Garbage truck not coming regularly,Garbage,Medium
Water meter not working properly,Water,Low
Waste dumped near school,Garbage,High
Electricity bill incorrect this month,Electricity,Low
Sewage overflow on main road,Drainage,High
No dustbin in our locality,Garbage,Medium
Pothole filled with water near hospital,Roads,High
Electric pole fallen on road,Electricity,High
Garbage truck not coming regularly,Garbage,Medium
Water meter not working properly,Water,Low
Garbage truck not coming regularly,Garbage,Medium
Dead animals lying on road not removed,Garbage,High
Minor road damage near park,Roads,Low
Electricity bill incorrect this month,Electricity,Low
Dead animals lying on road not removed,Garbage,High
Electricity bill incorrect this month,Electricity,Low
Sparking wire hanging dangerously,Electricity,High
Minor drain blockage near house,Drainage,Low
Dead animals lying on road not removed,Garbage,High
Footpath broken and dangerous for walkers,Roads,Medium
Rainwater not draining properly,Drainage,Medium
Water meter not working properly,Water,Low
No electricity for 2 days in entire street,Electricity,High
Street has cracks and bumps everywhere,Roads,Medium
Road completely broken near school zone,Roads,High
Minor drain blockage near house,Drainage,Low
Dirty water coming from tap,Water,High
Water supply irregular for a week,Water,High
Speed breaker damaged and sharp,Roads,Medium
Dead animals lying on road not removed,Garbage,High
No electricity for 2 days in entire street,Electricity,High
Sewage overflow on main road,Drainage,High
Low water pressure in morning,Water,Medium
Stagnant water breeding mosquitoes,Drainage,High
Littering on public road,Garbage,Low
Drain blocked causing flooding in homes,Drainage,High
No dustbin in our locality,Garbage,Medium
Street light not working for a month,Electricity,Medium
Street has cracks and bumps everywhere,Roads,Medium
Large pothole on main road causing accidents,Roads,High
Pothole filled with water near hospital,Roads,High
Garbage truck not coming regularly,Garbage,Medium
Water supply irregular for a week,Water,High
Electric pole fallen on road,Electricity,High
Garbage not collected for 10 days,Garbage,High
Water meter not working properly,Water,Low
Dirty water coming from tap,Water,High
Garbage not collected for 10 days,Garbage,High
No water supply for 3 days in our area,Water,High
Bad smell from open drain,Drainage,Medium
No water supply for 3 days in our area,Water,High
Minor drain blockage near house,Drainage,Low
Speed breaker damaged and sharp,Roads,Medium
Electric pole fallen on road,Electricity,High
No water supply for 3 days in our area,Water,High
No dustbin in our locality,Garbage,Medium
Street has cracks and bumps everywhere,Roads,Medium
Sparking wire hanging dangerously,Electricity,High
Garbage not collected for 10 days,Garbage,High
Road marking faded near signal,Roads,Low
Rainwater not draining properly,Drainage,Medium
Water meter not working properly,Water,Low
Low water pressure in morning,Water,Medium
